item_id,order_id,food_id,quantity,unit_price
186,62,3295,3,210.00
187,62,796,2,170.00
188,63,3740,1,38.00
189,63,3732,3,75.00
190,63,3728,3,90.00
191,63,3732,1,75.00
192,64,3753,1,189.00
193,65,3782,3,100.00
194,65,3782,2,100.00
195,66,3816,1,199.00
196,67,3943,2,100.00
197,67,3840,3,80.00
198,67,3789,3,90.00
199,67,3840,1,80.00
200,67,3787,3,70.00
201,68,2462,1,250.00
202,69,2591,3,70.00
203,69,3789,2,40.00
204,69,3936,2,50.00
205,70,3568,1,230.00
206,70,797,3,200.00
207,71,3999,1,240.00
208,71,4300,3,290.00
209,72,4196,2,140.00
210,73,4745,1,172.00
211,73,4747,1,167.00
212,73,4729,1,60.00
213,73,4694,2,70.00
214,74,4772,1,75.00
215,74,30,1,90.00
216,74,29,3,60.00
217,75,4788,2,45.00
218,75,4800,3,50.00
219,75,4790,2,50.00
220,75,4798,1,45.00
221,75,4800,1,50.00
222,76,4901,2,105.00
223,77,4916,1,45.00
224,77,4921,3,100.00
225,77,4920,3,45.00
226,77,4921,3,100.00
227,78,4937,1,100.00
228,79,4999,3,300.00
229,79,1285,3,140.00
230,79,1219,3,80.00
231,80,5219,3,20.00
232,81,5239,1,40.00
233,81,5229,3,40.00
234,81,249,1,40.00
235,82,568,2,240.00
236,82,3955,3,250.00
237,82,817,1,60.00
238,83,5311,2,60.00
239,83,4113,3,40.00
240,84,4220,3,140.00
241,84,4199,3,120.00
242,84,5346,3,350.00
243,85,5397,3,140.00
244,85,5537,3,120.00
245,85,5399,1,130.00
246,86,5552,1,150.00
247,87,5568,3,106.00
248,87,242,3,85.00
249,87,5639,1,122.00
250,88,5731,2,140.00
251,88,5710,2,299.00
252,88,5706,1,648.00
253,88,5711,2,299.00
254,89,5828,3,169.00
255,89,5839,3,169.00
256,89,5788,3,245.00
257,90,2313,2,145.00
258,91,6126,2,299.00
259,91,6126,1,299.00
260,91,6126,3,299.00
261,91,6126,1,299.00
262,92,5518,3,205.00
263,92,2101,1,125.00
264,92,910,3,60.00
265,93,6288,2,70.00
266,93,6303,1,150.00
267,93,6308,3,150.00
268,93,6315,3,200.00
269,94,6332,1,80.00
270,95,218,3,20.00
271,95,6401,2,300.00
272,95,6411,2,50.00
273,96,6578,3,240.00
274,97,3151,4,140.00
275,97,3974,6,290.00
276,98,1424,3,20.00
277,98,6846,2,30.00
278,98,6845,1,80.00
279,99,6865,3,250.00
280,99,6870,3,280.00
281,100,7062,2,120.00
282,100,7072,2,150.00
283,101,7231,3,150.00
284,101,7207,2,75.00
285,102,7393,3,465.00
286,102,7377,1,15.00
287,102,7371,3,438.00
288,102,7365,3,445.00
289,103,7437,1,250.00
290,104,7545,2,228.57
291,104,7477,1,229.52
292,104,7500,1,189.52
293,104,7491,2,419.05
294,105,7581,2,300.00
295,105,7587,3,300.00
296,105,176,1,15.00
297,105,7589,2,300.00
298,106,7612,2,116.64
299,106,7704,3,230.40
300,107,7821,2,100.00
301,107,7731,2,130.00
302,108,7256,3,80.00
303,108,45,2,30.00
304,108,7903,3,40.00
305,109,7942,1,330.00
306,109,7959,2,30.00
307,109,7949,1,70.00
308,110,1419,3,349.00
309,111,8098,3,160.00
310,111,8097,3,170.00
311,111,8099,3,220.00
312,112,8236,2,149.00
313,112,8171,1,379.00
314,113,8289,3,145.00
315,113,8308,2,90.00
316,113,8309,2,120.00
317,113,8289,3,145.00
318,114,8316,3,170.00
319,114,8407,3,170.00
320,114,8402,2,210.00
321,114,8320,2,140.00
322,115,2101,1,190.00
323,115,8659,2,30.00
324,115,8486,2,275.00
325,116,1212,2,189.00
326,117,902,2,240.00
327,117,4088,1,240.00
328,117,6883,3,290.00
329,117,2641,1,130.00
330,118,7194,2,50.00
331,118,7187,2,175.00
332,119,9123,2,240.00
333,119,4166,2,240.00
334,119,3568,3,180.00
335,119,9162,3,110.00
336,120,9224,1,50.85
337,120,9214,3,233.05
338,121,9234,2,190.48
339,122,3908,3,104.00
340,122,9459,1,104.00
341,122,9414,3,104.00
342,122,9444,2,78.00
343,123,8290,1,239.00
344,123,9464,3,309.00
345,124,9729,3,175.00
346,124,701,1,150.00
347,124,9786,2,190.00
348,124,125,2,90.00
349,124,9761,1,260.00
350,125,2353,1,57.14
351,126,3968,1,190.00
352,126,568,1,280.00
353,126,10010,3,425.00
354,126,4166,3,290.00
355,126,9974,3,280.00
356,127,10255,1,90.00
357,128,29,1,280.00
358,128,5239,1,150.00
359,129,3689,1,45.00
360,130,10604,1,290.00
361,130,2313,1,240.00
362,130,10083,2,120.00
363,130,10706,1,200.00
364,130,10607,2,390.00
365,131,10832,3,178.00
366,131,10854,2,128.00
367,131,10795,1,178.00
368,131,10822,2,148.00
369,131,10805,1,148.00
370,132,10880,1,140.00
371,132,10935,2,135.00
372,132,10985,2,165.00
373,132,10872,3,135.00
374,133,11020,3,169.49
375,133,11015,3,50.85
376,133,11010,3,50.85
377,133,11020,1,169.49
378,133,11019,2,152.54
379,134,1684,1,75.00
380,134,11086,3,210.00
381,134,6049,1,150.00
382,134,11203,2,159.00
383,134,814,3,180.00
384,135,11250,1,109.00
385,135,627,2,179.00
386,135,11234,2,219.00
387,136,2641,3,190.00
388,136,5516,3,190.00
389,136,5177,1,80.00
390,136,11379,2,180.00
391,136,6066,2,280.00
392,137,11437,2,250.00
393,137,11438,3,250.00
394,137,11438,3,250.00
395,137,11448,1,250.00
396,138,11526,2,28.57
397,138,11467,3,280.95
398,138,11478,1,66.67
399,138,11485,3,295.24
400,138,11589,2,333.33
401,139,11718,2,125.00
402,140,11774,3,120.00
403,140,11735,3,120.00
404,140,11778,2,100.00
405,140,233,1,100.00
406,140,4177,2,100.00
407,141,6568,2,385.90
408,141,808,1,330.65
409,142,11398,2,180.00
410,142,12049,1,240.00
411,143,913,3,210.00
412,143,6688,2,220.00
413,144,12295,3,50.00
414,144,1380,2,90.00
415,144,12295,2,50.00
416,144,1380,3,90.00
417,144,1380,1,90.00
418,145,8260,1,50.00
419,145,8256,3,50.00
420,145,8260,2,50.00
421,145,8260,2,50.00
422,146,2483,1,70.00
423,146,9487,3,140.00
424,146,12322,3,190.00
425,146,9487,3,140.00
426,146,12323,3,200.00
427,147,12474,3,80.00
428,147,12510,2,80.00
429,147,12374,3,160.00
430,147,12483,2,100.00
431,147,12369,3,80.00
432,148,12619,2,138.00
433,148,1214,1,70.00
434,149,12797,2,150.00
435,150,12906,2,80.00
436,150,12802,2,250.00
437,150,12809,2,170.00
438,150,12815,3,100.00
439,151,8165,2,179.00
440,151,1192,3,179.00
441,152,7767,3,30.00
442,152,10806,1,85.00
443,153,13282,3,365.00
444,153,13371,2,300.00
445,153,8864,3,260.00
446,154,1419,1,250.00
447,154,13684,3,350.00
448,154,13461,3,285.00
449,154,1212,1,170.00
450,155,13800,1,100.00
451,156,13937,1,60.00
452,156,13909,3,220.00
453,156,13937,1,60.00
454,157,13955,3,280.00
455,157,13962,3,250.00
456,157,13964,2,320.00
457,158,14033,2,70.00
458,158,14083,3,80.00
459,158,6846,3,90.00
460,158,7767,2,60.00
461,158,14084,1,80.00
462,159,14174,3,95.00
463,159,1046,3,140.00
464,159,14115,1,90.00
465,159,14194,2,225.00
466,160,14291,3,75.00
467,160,14252,1,50.00
468,160,14244,1,50.00
469,160,37,3,80.00
470,161,14389,3,220.00
471,161,14423,3,250.00
472,161,14400,1,250.00
473,161,14360,2,250.00
474,162,14534,3,209.00
475,163,14875,1,320.00
476,163,14850,2,180.00
477,163,14888,2,260.00
478,164,15016,1,200.00
479,165,1169,2,125.00
480,166,5446,3,325.00
481,166,10934,3,250.00
482,166,15054,1,165.00
483,167,15471,3,145.00
484,167,15381,1,349.00
485,167,15631,2,345.00
486,168,15654,2,249.00
487,169,15657,1,78.00
488,169,15656,3,10.00
489,170,15781,1,286.00
490,170,15873,3,234.00
491,170,889,3,91.00
492,171,583,3,160.00
493,171,15979,2,355.00
494,171,15989,2,160.00
495,171,16046,1,160.00
496,172,3597,1,495.00
497,172,16233,3,85.00
498,173,817,1,70.00
499,173,16292,1,25.00
500,173,2313,3,330.00
501,174,4196,1,85.00
502,175,16415,1,30.00
503,175,16395,3,140.00
504,175,2097,2,180.00
505,175,16419,1,80.00
506,175,16400,2,200.00
507,176,16642,3,330.00
508,176,1218,2,115.00
509,176,12686,3,300.00
510,176,30,3,225.00
511,177,4248,2,45.00
512,178,16796,3,160.00
513,178,4096,3,150.00
514,178,4096,3,150.00
515,178,15650,2,155.00
516,179,16818,3,155.00
517,179,16830,1,210.00
518,179,8501,3,160.00
519,179,16822,2,140.00
520,180,16858,3,129.00
521,180,242,3,99.00
522,180,16846,2,289.00
523,181,17092,2,295.00
524,181,17021,1,175.00
525,181,17095,1,225.00
526,182,17168,2,195.00
527,183,17196,3,150.00
528,184,63,3,80.00
529,184,1649,2,15.00
530,184,242,3,140.00
531,184,17291,1,245.00
532,184,5957,2,265.00
533,185,17256,2,225.00
534,186,17476,1,250.00
535,186,17492,2,500.00
536,187,17647,2,75.00
537,187,17625,1,560.00
538,187,14297,2,80.00
539,188,10284,2,450.00
540,188,10283,3,420.00
541,189,17672,1,324.00
542,189,17704,2,756.00
543,189,17688,3,96.00
544,189,17706,3,120.00
545,189,17671,1,528.00
546,190,256,3,90.00
547,191,6086,3,190.00
548,191,12320,1,160.00
549,191,6428,3,190.00
550,192,2106,2,190.00
551,192,17932,3,280.00
552,192,1135,3,120.00
553,192,18100,3,280.00
554,192,30,1,220.00
555,193,4132,1,128.00
556,193,18135,2,299.00
557,193,9601,3,200.00
558,193,18133,3,220.00
559,193,18136,1,269.00
560,194,63,3,100.00
561,194,18287,1,330.00
562,195,18510,3,169.00
563,195,18474,1,240.00
564,195,18374,1,179.00
565,196,2462,3,325.00
566,196,1207,1,80.00
567,197,18908,3,150.00
568,197,18908,2,150.00
569,197,18909,1,160.00
570,198,18968,3,357.14
571,198,18962,1,99.00
572,199,1424,1,240.00
573,199,19139,3,240.00
574,199,1380,2,204.00
575,199,1187,2,360.00
576,199,5445,1,288.00
577,200,2097,2,220.00
578,200,1211,2,130.00
579,201,13026,1,189.00
580,201,19407,1,299.00
581,201,19393,1,179.00
582,202,19534,3,150.00
583,202,19529,3,40.00
584,203,13967,1,35.00
585,204,18638,1,210.00
586,204,4426,3,150.00
587,204,14556,2,160.00
588,204,6684,3,145.00
589,205,19823,3,139.00
590,205,19821,3,127.00
591,205,19820,3,105.00
592,206,19846,1,25.00
593,206,19837,3,100.00
594,206,19839,1,50.00
595,207,19926,3,12.00
596,207,19925,3,10.00
597,208,17955,3,295.00
598,208,234,3,265.00
599,208,20177,3,270.00
600,208,17986,1,395.00
601,209,20227,1,275.00
602,209,20189,1,100.00
603,210,1183,3,250.00
604,211,8455,1,275.00
605,212,210,1,200.00
606,212,242,1,140.00
607,212,20538,3,150.00
608,213,8308,3,220.00
609,213,20829,1,275.00
610,214,20965,3,140.00
611,215,20981,1,110.00
612,216,3997,2,180.00
613,216,10082,1,85.00
614,216,3996,1,180.00
615,216,3795,3,149.00
616,216,3787,2,159.00
617,217,21046,1,645.00
618,218,21130,1,35.00
619,218,796,2,70.00
620,218,21154,1,286.00
621,218,21135,2,45.00
622,219,21199,3,30.00
623,219,21230,1,410.00
624,220,794,1,250.00
625,220,12580,3,250.00
626,220,3798,3,300.00
627,221,21355,1,110.00
628,221,8115,2,140.00
629,221,2462,2,160.00
630,222,238,3,99.00
631,223,21556,2,87.00
632,224,21580,2,240.00
633,224,19876,1,240.00
634,225,21654,1,339.00
635,225,21677,2,319.00
636,225,21615,2,289.00
637,226,17608,1,520.00
638,226,4862,1,325.00
639,226,21917,3,35.00
640,227,4382,1,120.00
641,227,1392,2,150.00
642,228,164,1,150.00
643,229,22226,1,120.00
644,230,22235,1,52.00
645,230,22234,3,65.00
646,230,22235,1,52.00
647,230,947,2,39.00
648,230,947,3,39.00
649,231,37,2,148.00
650,231,7603,2,70.00
651,232,252,1,70.00
652,232,22343,1,75.00
653,232,22322,2,85.00
654,233,22406,3,20.00
655,233,7767,2,50.00
656,233,22378,1,120.00
657,234,22425,3,90.00
658,234,1353,2,75.00
659,234,22422,2,70.00
660,235,3556,2,70.00
661,235,22487,1,100.00
662,235,22484,1,130.00
663,235,22459,3,100.00
664,235,22485,1,30.00
665,236,6086,3,160.00
666,236,797,1,180.00
667,236,22530,3,200.00
668,237,22942,1,149.00
669,237,7317,1,149.00
670,237,2625,3,349.00
671,237,5085,3,259.00
672,237,8220,2,299.00
673,238,23026,3,425.00
674,238,23026,1,425.00
675,238,2495,2,270.00
676,238,23110,3,320.00
677,239,23227,3,70.00
678,240,6688,3,190.00
679,240,20688,3,180.00
680,240,8522,3,180.00
681,240,23275,3,180.00
682,241,2506,2,30.00
683,241,2462,3,150.00
684,241,23338,1,195.00
685,241,23433,3,180.00
686,241,23362,3,160.00
687,242,39,3,85.00
688,242,9974,3,180.00
689,242,801,1,160.00
690,242,1205,3,160.00
691,242,47,2,90.00
692,243,568,1,209.00
693,243,23696,3,99.00
694,243,801,3,209.00
695,243,23670,3,349.00
696,244,44,1,85.00
697,244,6018,3,79.00
698,244,23960,3,139.00
699,244,2462,3,149.00
700,245,1906,2,210.00
701,245,1906,2,210.00
702,245,2461,2,255.00
703,246,4737,2,78.00
704,246,22367,1,78.00
705,247,24178,2,120.00
706,247,17036,1,145.00
707,248,24210,1,80.00
708,248,24206,3,50.00
709,248,24204,3,70.00
710,248,19834,1,50.00
711,249,105,2,389.00
712,249,24232,2,329.00
713,249,18788,2,329.00
714,249,24245,1,339.00
715,249,24245,3,339.00
716,250,3492,1,75.00
717,251,24446,2,239.00
718,251,24539,1,280.00
719,251,24571,3,269.00
720,251,15957,3,80.00
721,251,242,2,65.00
722,252,24594,3,57.14
723,252,24595,3,114.28
724,253,10156,2,299.00
725,254,24850,2,190.00
726,254,3997,3,199.00
727,254,5966,3,120.00
728,254,24779,3,180.00
729,254,24894,1,220.00
730,255,24906,2,112.00
731,256,1816,3,140.00
732,257,8256,3,60.00
733,257,8308,3,80.00
734,257,45,2,40.00
735,257,30,2,120.00
736,258,24993,3,775.00
737,258,25004,1,255.00
738,258,24995,3,599.00
739,258,25032,2,729.00
740,259,25070,2,145.00
741,259,25066,3,155.00
742,259,25086,3,125.00
743,259,25158,3,50.00
744,260,25178,3,35.00
745,260,1822,1,25.00
746,261,25216,3,250.00
747,261,25215,1,400.00
748,261,10289,3,399.00
749,261,25211,1,450.00
750,261,25209,1,499.00
751,262,25382,2,140.00
752,262,25350,1,160.00
753,262,25377,2,280.00
754,262,25299,1,75.00
755,263,25553,2,340.00
756,263,25576,1,380.00
757,263,25616,3,289.00
758,263,10083,2,130.00
759,263,4132,1,130.00
760,264,25650,3,107.62
761,264,25723,1,175.71
762,264,25635,1,182.38
763,265,25866,2,210.00
764,265,2591,3,240.00
765,266,6323,1,515.00
766,266,26069,2,100.00
767,267,2604,3,170.00
768,267,2622,1,130.00
769,267,2655,3,195.00
770,267,1214,1,90.00
771,267,1135,2,105.00
772,268,2641,1,170.00
773,269,26602,2,300.00
774,270,12186,2,25.00
775,270,26788,2,120.00
776,271,26893,1,240.00
777,271,26884,3,300.00
778,272,126,2,130.00
779,273,27149,3,110.00
780,273,27094,1,85.00
781,273,27095,3,128.00
782,273,27153,1,100.00
783,273,27102,3,128.00
784,274,27265,2,190.00
785,274,27263,3,190.00
786,274,27171,2,350.00
787,275,27347,2,389.00
788,275,24774,1,139.00
789,275,24633,3,319.00
790,275,24651,1,319.00
791,276,27481,3,5.00
792,276,27462,3,75.00
793,277,17845,2,250.00
794,277,3067,3,229.00
795,278,2889,3,90.00
796,278,45,3,50.00
797,278,4196,1,90.00
798,279,27896,3,109.00
799,279,2275,3,149.00
800,279,6791,3,159.00
801,280,7256,1,95.00
802,280,12132,3,140.00
803,280,311,1,70.00
804,280,252,1,100.00
805,281,28090,1,40.00
806,282,3480,2,120.00
807,282,3481,1,120.00
808,283,4166,1,100.00
811,97,6606,1,255.00
838,297,10,2,125.00
839,297,7,1,105.00
840,297,14,1,90.00
841,297,16,3,90.00
842,284,2352,2,57.14
843,565,2316,1,389.00
844,565,2327,1,129.00
845,565,2352,1,57.14
846,285,8033,3,349.00
847,285,8022,1,349.00
848,285,8014,2,239.00
849,566,7971,3,649.00
850,566,8016,2,239.00
851,566,7962,1,279.00
852,566,8022,1,349.00
853,286,7760,3,150.00
854,286,3799,2,185.00
855,286,910,3,75.00
856,567,4001,1,205.00
857,567,7754,2,145.00
858,567,256,2,100.00
859,567,7844,1,150.00
860,287,16065,3,245.00
861,287,16125,3,330.00
862,568,8936,2,320.00
863,568,15993,3,360.00
864,568,16092,1,515.00
865,568,16210,1,370.00
866,288,25866,3,210.00
867,288,25945,2,220.00
868,288,2625,3,295.00
869,288,25841,3,180.00
870,569,10600,1,270.00
871,569,796,2,190.00
872,569,25890,3,170.00
873,569,25759,2,250.00
874,289,27686,1,209.00
875,289,10126,1,159.00
876,289,27599,1,250.00
877,289,6658,3,189.00
878,570,27594,2,220.00
879,570,5178,1,90.00
880,570,27691,2,209.00
881,290,19075,3,348.00
882,290,19002,3,264.00
883,571,19099,2,360.00
884,571,5083,1,348.00
885,571,19076,1,312.00
886,291,4248,3,35.00
887,572,6883,1,230.00
888,292,4168,3,260.00
889,292,13362,2,335.00
890,573,2462,1,260.00
891,573,13264,2,270.00
892,573,823,3,220.00
893,293,19977,2,150.00
894,293,19988,2,120.00
895,293,18703,1,120.00
896,293,11150,2,295.00
897,574,20142,1,395.00
898,294,44,3,80.00
899,294,26658,2,220.00
900,294,26622,2,330.00
901,294,819,2,250.00
902,575,26634,3,330.00
903,575,12558,2,300.00
904,575,22525,2,190.00
905,295,7932,1,100.00
906,295,24835,1,440.00
907,295,24843,3,200.00
908,295,3787,3,160.00
909,576,24817,1,399.00
910,576,17713,1,190.00
911,296,17087,1,295.00
912,296,17065,3,210.00
913,577,17005,2,130.00
914,578,11115,2,350.00
915,578,918,1,155.00
916,298,14317,3,70.00
917,579,14325,3,70.00
918,299,4129,3,149.00
919,580,5980,2,295.00
920,580,8498,1,299.00
921,580,5980,3,295.00
922,580,8626,1,389.00
923,300,3039,3,99.00
924,300,5966,1,79.00
925,300,6078,2,129.00
926,581,8262,2,199.00
927,581,8112,2,157.00
928,301,16512,1,390.00
929,301,1212,2,125.00
930,582,4015,1,270.00
931,302,18858,2,70.00
932,302,583,3,160.00
933,302,18819,2,475.00
934,302,18732,3,550.00
935,583,1684,2,80.00
936,583,18754,2,475.00
937,303,17707,2,756.00
938,303,17691,3,120.00
939,584,17678,2,324.00
940,584,17690,3,395.00
941,584,17672,1,324.00
942,584,17683,3,324.00
943,304,11763,3,120.00
944,585,11764,2,180.00
945,585,11762,2,100.00
946,305,26246,1,230.00
947,586,6610,3,65.00
948,306,3987,1,300.00
949,306,18191,1,400.00
950,306,13547,3,160.00
951,306,11812,2,140.00
952,587,10761,2,160.00
953,587,18298,2,260.00
954,587,4375,3,140.00
955,587,4194,3,285.00
956,307,313,1,145.00
957,588,15001,1,530.00
958,588,14756,3,70.00
959,308,10888,2,140.00
960,308,10939,3,150.00
961,308,10953,2,165.00
962,589,10978,2,50.00
963,589,10941,3,160.00
964,309,13196,1,60.00
965,309,7121,2,60.00
966,309,13196,1,60.00
967,590,13179,3,80.00
968,590,13183,2,85.00
969,590,7254,2,70.00
970,590,7767,1,30.00
971,310,23775,2,159.00
972,310,239,1,189.00
973,591,23883,3,179.00
974,591,801,3,209.00
975,591,23835,3,249.00
976,591,23676,2,209.00
977,311,17944,1,250.00
978,592,2529,3,230.00
979,312,7565,1,164.76
980,312,7478,2,229.52
981,312,7484,3,519.05
982,593,7494,2,228.57
983,593,7492,3,299.05
984,593,7497,1,248.57
985,593,7481,1,379.04
986,313,24139,3,90.00
987,594,24136,1,90.00
988,314,10990,1,30.00
989,314,14490,1,180.00
990,314,20478,3,350.00
991,595,20536,1,150.00
992,595,14490,2,180.00
993,315,7185,3,175.00
994,315,9027,3,175.00
995,596,7150,3,530.00
996,596,8939,1,60.00
997,596,8964,1,40.00
998,316,7707,1,160.00
999,316,29,1,85.00
1000,316,1280,1,160.00
1001,316,3067,1,155.00
1002,597,25262,1,145.00
1003,317,22397,2,135.00
1004,317,20689,3,20.00
1005,317,22384,1,135.00
1006,598,22369,2,95.00
1007,598,12278,1,20.00
1008,598,22370,1,105.00
1009,598,22387,2,120.00
1010,318,22623,3,250.00
1011,318,22519,1,130.00
1012,318,794,3,180.00
1013,318,1393,2,250.00
1014,599,22533,2,200.00
1015,599,8417,1,120.00
1016,599,1211,2,90.00
1017,599,8907,2,150.00
1018,319,15258,1,55.00
1019,319,15175,2,130.00
1020,600,17148,2,190.00
1021,600,7248,1,250.00
1022,600,7256,3,170.00
1023,320,1448,3,17.00
1024,320,23586,2,90.00
1025,320,10990,3,10.00
1026,320,2119,1,90.00
1027,601,1219,3,60.00
1028,321,26051,1,645.00
1029,602,26092,2,455.00
1030,602,26080,2,45.00
1031,322,11215,2,179.00
1032,603,11195,3,179.00
1033,603,11115,2,250.00
1034,603,11097,2,250.00
1035,603,6567,2,200.00
1036,323,17463,3,175.00
1037,604,11794,2,375.00
1038,324,12788,1,135.00
1039,324,12776,3,125.00
1040,324,12796,3,185.00
1041,324,12774,3,105.00
1042,605,5966,1,80.00
1043,605,12797,2,150.00
1044,325,11720,2,125.00
1045,325,11719,1,125.00
1046,325,9974,1,125.00
1047,606,11722,2,140.00
1048,326,22248,1,196.00
1049,326,22258,1,120.00
1050,607,13490,1,145.00
1051,607,331,2,135.00
1052,607,117,1,108.00
1053,607,22258,2,120.00
1054,327,7307,2,230.00
1055,327,7351,3,45.00
1056,327,7114,1,96.00
1057,608,7135,3,70.00
1058,608,7214,3,140.00
1059,328,1209,1,160.00
1060,609,1225,3,80.00
1061,609,9978,2,430.00
1062,609,7899,3,140.00
1063,609,7623,1,220.00
1064,329,908,3,30.00
1065,329,6697,3,265.00
1066,610,6692,1,265.00
1067,610,6610,1,150.00
1068,610,3292,2,280.00
1069,330,6327,3,200.00
1070,611,217,3,15.00
1071,611,6337,2,400.00
1072,611,6362,3,60.00
1073,611,6352,3,350.00
1074,331,8290,2,90.00
1075,612,8303,3,70.00
1076,332,256,2,100.00
1077,613,12819,2,600.00
1078,613,12809,3,170.00
1079,613,12808,2,100.00
1080,333,13997,1,80.00
1081,333,13975,1,280.00
1082,614,13949,2,280.00
1083,614,13956,2,280.00
1084,614,13958,2,220.00
1085,614,13951,2,280.00
1086,334,8326,2,200.00
1087,334,1831,2,120.00
1088,334,8361,2,200.00
1089,334,8324,3,180.00
1090,615,102,2,200.00
1091,335,19594,3,70.00
1092,335,19559,1,250.00
1093,335,13969,2,70.00
1094,616,13967,1,35.00
1095,616,19554,2,280.00
1096,616,14005,2,140.00
1097,616,19572,3,100.00
1098,336,7376,2,475.00
1099,336,7369,1,448.00
1100,336,7379,3,849.00
1101,617,7366,2,448.00
1102,617,7368,2,465.00
1103,337,212,1,299.00
1104,618,21651,3,399.00
1105,618,21822,2,239.00
